Model,Signal Yield,Best-fit Mu,Observed CLs,Expected CLs,Obs_Limit,Exp_m2,Exp_m1,Exp_med,Exp_p1,Exp_p2
1000_2,0.0,,,,,,,,,
1000_4,0.0,,,,,,,,,
1000_6,0.0,,,,,,,,,
1000_8,0.0,,,,,,,,,
2000_2,0.0,,,,,,,,,
2000_4,0.037264446,92.08677034128708,,,254.9156611476973,92.0186863740581,122.2262314252508,174.85035048472628,255.83596550122675,371.94150086083187
2000_6,0.0370867545,92.51926141786835,,,256.1366040482344,92.45779226755482,122.8091309210102,175.68554827607466,257.05842819353785,373.7164563441524
2000_8,0.0,,,,,,,,,
3000_2,0.0,,,,,,,,,
3000_4,0.0036045989999999996,0.9835153499091418,,,1216.6993799411543,748.9684805416971,1061.8809167324366,1501.8395880591327,2262.656204007329,3365.8377898072185
3000_6,0.0,,,,,,,,,
3000_8,0.0,,,,,,,,,
