physics_short,crossSection_pb,genFiltEff,kFactor,nEvents,sumOfWeights,sumOfWeightsSquared,process,description,nEvents_pros,sum_w_pros,sum_w_squared_pos,scale_factor_sub_weight,scale_factor_tot_weight,luminosity
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ0WithSW,78050000000.0,0.9753257,1.0,50035000.0,50035000.0,50035000.0,QCD jets,"Dijet truth jet slice JZ0, with the A14 NNPDF23 LO tune",30055000,30055000.0,30055000.0,349530370.0,209955742.62276405,138
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ1WithSW,78050000000.0,0.02442497,1.0,50089400.0,50089400.0,50089400.0,QCD jets,"Dijet truth jet slice JZ1, with the A14 NNPDF23 LO tune",30033800,30033800.0,30033800.0,8759428.0,5252187.276609423,138
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ2WithSW,2433000000.0,0.009863128,1.0,50019000.0,18501.16491868999,31.79465744622013,QCD jets,"Dijet truth jet slice JZ2, with the A14 NNPDF23 LO tune",30046000,11113.566,19.09092,297976770.0,178993306.26292714,138
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ3WithSW,26450000.0,0.01165833,1.0,50083000.0,364.7516766097338,0.008413246890465525,QCD jets,"Dijet truth jet slice JZ3, with the A14 NNPDF23 LO tune",29392000,214.04283,0.0049340464,198810990.0,116665866.29163255,138
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ4WithSW,254610.0,0.01336553,1.0,50085000.0,11.168376366926495,5.704019266065459e-06,QCD jets,"Dijet truth jet slice JZ4, with the A14 NNPDF23 LO tune",30089000,6.71068,3.4315976e-06,69980040.0,42048517.38933976,138
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ5WithSW,4553.2,0.01452648,1.0,4800000.0,0.08017748040116976,2.3764929220175114e-09,QCD jets,"Dijet truth jet slice JZ5, with the A14 NNPDF23 LO tune",2880000,0.048107874,1.4252819e-09,189731780.0,113842336.27569607,138
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ6WithSW,257.54,0.0094734,1.0,180000.0,0.0005002326379773686,2.077106914406194e-12,QCD jets,"Dijet truth jet slice JZ6, with the A14 NNPDF23 LO tune",180000,0.0005002327,2.0771067e-12,673065900.0,673065962.9274979,138
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ7WithSW,16.215,0.011099,1.0,90000.0,6.90543054291011e-05,7.437787469265996e-14,QCD jets,"Dijet truth jet slice JZ7, with the A14 NNPDF23 LO tune",90000,6.90543e-05,7.4377875e-14,359657500.0,359657506.8805713,138
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ8WithSW,0.62506,0.010156,1.0,150000.0,3.328138975798589e-05,9.279383343123572e-15,QCD jets,"Dijet truth jet slice JZ8, with the A14 NNPDF23 LO tune",150000,3.328139e-05,9.279383e-15,26322190.0,26322190.81145173,138
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ9WithSW,0.019639,0.012057,1.0,60000.0,5.168126825364286e-06,5.168796530881692e-16,QCD jets,"Dijet truth jet slice JZ9, with the A14 NNPDF23 LO tune",60000,5.168127e-06,5.168796e-16,6322729.0,6322728.81029709,138
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ10WithSW,0.0011962,0.005894,1.0,180000.0,7.2160529795218045e-06,3.186792478011385e-16,QCD jets,"Dijet truth jet slice JZ10, with the A14 NNPDF23 LO tune",180000,7.216053e-06,3.1867923e-16,134832.11,134832.10131094075,138
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ11WithSW,4.23e-05,0.0026734,1.0,80000.0,1.6979495930996222e-06,3.808892761189547e-17,QCD jets,"Dijet truth jet slice JZ11, with the A14 NNPDF23 LO tune",80000,1.6979496e-06,3.808893e-17,9190.911,9190.911923075199,138
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ12WithSW,1.04e-06,0.00042898,1.0,100000.0,1.233568661961927e-06,1.5624388844989534e-17,QCD jets,"Dijet truth jet slice JZ12, with the A14 NNPDF23 LO tune",100000,1.2335688e-06,1.5624388e-17,49.909832,49.90983598925133,138
