Mass,Rinv,Cut,Obs_Limit_XS,Exp_Limit_XS,Exp_m2_XS,Exp_m1_XS,Exp_p1_XS,Exp_p2_XS,S_yield,B_yield,D_yield
1000,2,0.4541068506891077,5221.145570195214,1755.8485757271103,603.8509641474913,965.0335735528078,3732.90531621194,8692.53639609003,7287.96762656968,179715.09311491257,186049
1000,4,0.4485129389522051,2284.078515474437,868.346328007247,298.65083024319125,477.2626468510057,1845.7981659197746,4298.103111673326,16726.55273910104,180337.42637295302,186592
1000,6,0.4485129389522051,1448.8468678932634,578.9313540643178,198.66966917047327,317.52898353918096,1227.0093435785789,2846.0350164214137,27629.769178804076,180337.42637295302,186592
1000,8,0.4429190272153026,931.3501488365816,417.79239625178644,143.53350700479584,229.3673151738418,882.7785438410978,2059.883969903322,39545.88402977503,180860.74642346054,187003
2000,2,0.4261372920045949,97.41535047505099,228.11448807386458,77.01797221578755,123.7625178370654,491.999111736069,1174.3174190360858,350.35539669903227,181907.12802878942,187881
2000,4,0.006593911736902564,45.704908698597,121.62678784392821,40.88545747656545,65.97102162649351,261.7471067642889,622.8620237616602,736.8298907579048,183229.69295368795,188745
2000,6,0.006593911736902564,33.212165357779405,90.07292271595533,30.425984068312797,49.03868215229705,194.89146549037844,461.42549156273657,1054.4506039444886,183229.69295368795,188745
2000,8,0.006593911736902564,29.74792152762271,79.12575906052955,26.65211045617665,42.784965310621544,170.7599157982485,404.13356501356157,1256.590042816579,183229.69295368795,188745
3000,2,0.42054338026769233,210.51882052782668,517.8503070333619,189.2044779487927,293.7492982448291,1037.0354425544604,2249.575916672463,10.244209435200293,182153.6873699997,188108
3000,4,0.006593911736902564,81.02365004999515,262.1246944746201,96.11866272169156,148.59117096753067,524.7229248909282,1131.4414760299542,21.67445378700049,183229.69295368795,188745
3000,6,0.006593911736902564,55.94370099248824,184.7800604885969,67.35799518787918,105.63824823323372,371.0330320084745,804.084442990544,31.60934547435309,183229.69295368795,188745
3000,8,0.006593911736902564,45.267586208992284,160.34321400622105,58.77687219570912,91.25410413643682,321.4294471720647,697.77654439819,34.268927769898724,183229.69295368795,188745
