Mass,Rinv,Cut,Obs_Limit_XS,Exp_Limit_XS,Exp_m2_XS,Exp_m1_XS,Exp_p1_XS,Exp_p2_XS,S_yield,B_yield,D_yield
1000,2,0.418525452895598,299.49995877790116,2302.9842312833243,789.9928365656673,1262.503552569294,4894.193163731328,11363.311145106944,7251.600522644685,158311.24939243955,171202
1000,4,0.41264481271396986,137.36901393662396,1145.9366002695235,393.24613374210173,628.3840352762905,2433.354453853272,5647.656239412692,16726.552739101044,161121.23830426892,173323
1000,6,0.41264481271396986,95.52,755.3468376553716,259.8020872833937,414.9963587636161,1596.7667746058244,3723.084643049846,27690.387364804086,161121.23830426892,173323
1000,8,0.41264481271396986,95.54,539.4862317178985,185.66177897079635,296.5657054366734,1143.8637351239952,2663.919603808452,39577.412086465054,161121.23830426892,173323
2000,2,0.5831833779811859,40.27780495087907,28.27724795529874,6.43393445721334,12.509229729123074,72.18550309901138,195.27932157077092,45.196366099500246,1850.582409333434,2659
2000,4,0.42440609307722615,35.92238442168838,134.0137405668406,45.1563944713544,72.85056271777876,288.74325730040005,687.4418010244709,728.7435059759058,155281.59171194604,168757
2000,6,0.418525452895598,25.073188291084374,100.30464550932315,33.75510968909026,54.46448983257121,215.86250724289047,513.0788512523562,1049.6664126139856,158311.24939243955,171202
2000,8,0.418525452895598,22.47254492773145,85.78728356610334,29.017077429402587,46.51923941476673,185.6896974616042,440.5634572589755,1249.8403296510626,158311.24939243955,171202
3000,2,0.42440609307722615,263.0242285139077,526.0444162619086,193.63054740650887,301.5864979674261,1059.2648922587816,2308.760133517618,10.197217648800283,155281.59171194604,168757
3000,4,0.42440609307722615,118.46841727213412,255.43126462488075,94.24190826038942,146.94854517412307,514.9337640314099,1118.2172968409097,21.418527258000555,155281.59171194604,168757
3000,6,0.42440609307722615,81.28914070808788,177.42448448338595,65.18924697126526,101.49674433986806,357.4723758178984,774.0253634398143,31.23781031700305,155281.59171194604,168757
3000,8,0.418525452895598,72.56144650981723,148.0888817463347,53.97178557309064,83.55917076303155,294.6032591839096,642.4069830769397,34.12051475219873,158311.24939243955,171202
