Mass,Rinv,Cut,Obs_Limit_XS,Exp_Limit_XS,Exp_m2_XS,Exp_m1_XS,Exp_p1_XS,Exp_p2_XS,S_yield,B_yield,D_yield
1000,2,0.4652048675941698,543.1928213464173,2377.267141205107,816.6923893266517,1304.78602453504,5031.6608364967005,11682.436692075908,7239.478154669687,167653.53068528278,175369
1000,4,0.4652048675941698,255.8140924841631,1172.4615415071507,402.75756786319704,643.4822625043236,2482.416757787168,5758.092242640608,16566.721773301142,167653.53068528278,175369
1000,6,0.4652048675941698,177.0091250575837,773.018596816541,266.11458057233375,425.08787917925963,1641.884041502851,3821.0787785047437,27445.489893364043,167653.53068528278,175369
1000,8,0.4652048675941698,132.01369741666096,553.5192193286696,190.62970943243613,304.5463808522761,1179.3708579758593,2741.036799273366,39235.45393313478,167653.53068528278,175369
2000,2,0.4652048675941698,208.79305249579357,301.4501636479419,101.50116332202548,163.33451713312755,650.6527890320149,1530.305946713262,344.67335560353115,167653.53068528278,175369
2000,4,0.4652048675941698,114.64544604736363,155.73658101390842,52.827761817165765,84.73328636724969,337.43091733353754,799.7939755079946,721.9986412499069,167653.53068528278,175369
2000,6,0.4652048675941698,93.40436462106253,116.12177365640302,39.1954982470532,62.75681096712661,249.63974819061255,590.6677972873339,1030.4925605374733,167653.53068528278,175369
2000,8,0.4652048675941698,86.049547642783,100.78824916026676,34.02969545839901,54.99789263509826,218.1836901432062,514.7090218900213,1225.681520233504,167653.53068528278,175369
3000,2,0.4652048675941698,1152.1315338032898,658.9752501881445,239.518031440631,372.842340966004,1311.6689594299526,2865.0891855084083,10.00202099760024,167653.53068528278,175369
3000,4,0.4652048675941698,566.7414797804387,331.1106304207562,121.07911514284748,187.13888565128636,657.7441881619455,1430.1371152608494,20.967952383000668,167653.53068528278,175369
3000,6,0.4652048675941698,393.768643464223,234.48756069673553,85.94496263048075,134.44562864770035,471.41764954297173,1022.8549471219753,30.45145435290296,167653.53068528278,175369
3000,8,0.28283866961074594,385.91915542565846,187.9678647886101,68.87236473530729,107.00862479782407,376.8026210679854,818.1767503666107,34.268927769898724,183488.3105373094,188744
