physics_short,crossSection_pb,genFiltEff,kFactor,nEvents,sumOfWeights,sumOfWeightsSquared,process,description,nEvents_pros,sum_w_pros,sum_w_squared_pos,scale_factor_sub_weight,scale_factor_tot_weight,luminosity
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ0WithSW,78050000000.0,0.9753257,1.0,50035000.0,50035000.0,50035000.0,QCD jets,"Dijet truth jet slice JZ0, with the A14 NNPDF23 LO tune",29665000,29665000.0,29665000.0,64894810.0,38475157.42597206,25.289004522843967
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ1WithSW,78050000000.0,0.02442497,1.0,50089400.0,50089400.0,50089400.0,QCD jets,"Dijet truth jet slice JZ1, with the A14 NNPDF23 LO tune",30139400,30139400.0,30139400.0,1599573.1,962482.5202391248,25.289004522843967
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ2WithSW,2433000000.0,0.009863128,1.0,50019000.0,18501.16491868999,31.79465744622013,QCD jets,"Dijet truth jet slice JZ2, with the A14 NNPDF23 LO tune",29907000,11060.358,18.95908,54868024.0,32801177.765521444,25.289004522843967
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ3WithSW,26450000.0,0.01165833,1.0,50083000.0,364.7516766097338,0.008413246890465525,QCD jets,"Dijet truth jet slice JZ3, with the A14 NNPDF23 LO tune",30079000,219.00516,0.005048727,35607332.0,21379446.523989893,25.289004522843967
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ4WithSW,254610.0,0.01336553,1.0,50085000.0,11.168376366926495,5.704019266065459e-06,QCD jets,"Dijet truth jet slice JZ4, with the A14 NNPDF23 LO tune",30752000,6.8559046,3.5015557e-06,12552454.0,7705544.539405048,25.289004522843967
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ5WithSW,4553.2,0.01452648,1.0,4800000.0,0.08017748040116976,2.3764929220175114e-09,QCD jets,"Dijet truth jet slice JZ5, with the A14 NNPDF23 LO tune",2790000,0.046614546,1.382945e-09,35882890.0,20862024.325849287,25.289004522843967
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ6WithSW,257.54,0.0094734,1.0,180000.0,0.0005002326379773686,2.077106914406194e-12,QCD jets,"Dijet truth jet slice JZ6, with the A14 NNPDF23 LO tune",180000,0.0005002327,2.0771067e-12,123341790.0,123341798.41047698,25.289004522843967
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ7WithSW,16.215,0.011099,1.0,90000.0,6.90543054291011e-05,7.437787469265996e-14,QCD jets,"Dijet truth jet slice JZ7, with the A14 NNPDF23 LO tune",90000,6.90543e-05,7.4377875e-14,65908560.0,65908553.03027212,25.289004522843967
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ8WithSW,0.62506,0.010156,1.0,150000.0,3.328138975798589e-05,9.279383343123572e-15,QCD jets,"Dijet truth jet slice JZ8, with the A14 NNPDF23 LO tune",150000,3.328139e-05,9.279383e-15,4823637.5,4823637.699144672,25.289004522843967
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ9WithSW,0.019639,0.012057,1.0,60000.0,5.168126825364286e-06,5.168796530881692e-16,QCD jets,"Dijet truth jet slice JZ9, with the A14 NNPDF23 LO tune",60000,5.168127e-06,5.168796e-16,1158663.1,1158663.1701472388,25.289004522843967
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ10WithSW,0.0011962,0.005894,1.0,180000.0,7.2160529795218045e-06,3.186792478011385e-16,QCD jets,"Dijet truth jet slice JZ10, with the A14 NNPDF23 LO tune",180000,7.216053e-06,3.1867923e-16,24708.477,24708.475506354614,25.289004522843967
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ11WithSW,4.23e-05,0.0026734,1.0,80000.0,1.6979495930996222e-06,3.808892761189547e-17,QCD jets,"Dijet truth jet slice JZ11, with the A14 NNPDF23 LO tune",80000,1.6979496e-06,3.808893e-17,1684.2681,1684.268211534125,25.289004522843967
Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ12WithSW,1.04e-06,0.00042898,1.0,100000.0,1.233568661961927e-06,1.5624388844989534e-17,QCD jets,"Dijet truth jet slice JZ12, with the A14 NNPDF23 LO tune",100000,1.2335688e-06,1.5624388e-17,9.146159,9.146159913525924,25.289004522843967
PhPy8EG_A14_ttbar_hdamp258p75_nonallhad,729.77,0.5437965,1.139756362,32890000.0,24014984445.816772,17816963736313.004,ttbar,"POWHEG+Pythia8 ttbar production with Powheg hdamp equal 1.5*top mass, A14 tune, at least one lepton filter, ME NNPDF30 NLO, A14 NNPDF23 LO from DSID 410450 LHE files with Shower Weights added '",19920000,14545086000.0,10790968000000.0,0.0007864116,0.0004763035995178146,25.289004522843967
